"song","artist","rank","weeks_on_board"
"Cat's In The Cradle","Ugly Kid Joe",1376,20
"Cat Daddy","Rej3ctz",4,1
"Cat People (Putting Out Fire)","David Bowie",150,10
"Cat Scratch Fever","Ted Nugent",624,11
"Catch","Brett Young",498,17
"Catch Me","Demi Lovato",12,1
"Catch Me (I'm Falling) (From The Film ""Hiding Out"")","Pretty Poison",1432,23
"Catch Me I'm Falling","Real Life",468,11
"Catch My Breath","Kelly Clarkson",1460,24
"Catch My Fall","Billy Idol",344,11
"Catch The Wind","Donovan",575,10
"Catch Us If You Can","The Dave Clark Five",857,11
"Catching The Sun","Spyro Gyra",117,5
"Cater 2 U","Destiny's Child",1265,24
"Caterina","Perry Como",672,12
"Catfish","Four Tops",146,6
"Cathedrals","D.C. LaRue",12,2
"Cathy's Clown","The Everly Brothers",1360,17
"Caught A Lite Sneeze","Tori Amos",385,13
"Caught In A Dream","Alice Cooper",18,3
"Caught In The Game","Survivor",80,5
"Caught Out There","Kelis",403,12
"Caught Their Eyes","JAY-Z Featuring Frank Ocean",38,1
"Caught Up","Usher",1849,27
"Caught Up In The Rapture","Anita Baker",685,18
"Caught Up In You","38 Special",1147,17
"Causing A Commotion","Madonna",1155,18
"CC","Migos Featuring Gucci Mane",5,1
"Cecilia","Simon & Garfunkel",1047,13
"Cecilia","Times Two",84,6
"Cecilia And The Satellite","Andrew McMahon In The Wilderness",9,3
"Celebrate","DJ Khaled Featuring Travis Scott & Post Malone",49,1
"Celebrate","Three Dog Night",689,9
"Celebrate Youth","Rick Springfield",598,11
"Celebration","Game Featuring Chris Brown, Tyga, Wiz Khalifa & Lil Wayne",142,12
"Celebration","Kool & The Gang",2128,30
"Celebration","Madonna",30,1
"Celebration","Tommy James",13,3
"Celebration Station","Lil Uzi Vert",67,1
"Celebration/Take Your Chance","Fun Factory",70,12
"Celebrity","Brad Paisley",923,20
"Celebrity Skin","Hole",85,9
"Celia Of The Seals","Donovan",32,3
"Cell Therapy","Goodie Mob",914,20
"Centerfield","John Fogerty",478,13
"Centerfold","The J. Geils Band",1956,25
"Centipede","Rebbie Jackson",915,19
"Centuries","Fall Out Boy",2467,34
"Century's End (From ""Bright Lights, Big City"")","Donald Fagen",62,5
"Certain Things Are Likely","K.T.P.",11,4
"Cerveza","Bert Kaempfert And His Orchestra",85,6
"Cerveza","Boots Brown And His Blockbusters",230,8
"Ch-Check It Out","Beastie Boys",272,12
"Ch Ch Cherie","The Johnny Average Band Featuring Nikki Wills",217,7
"Cha-Cha Slide","Mr. C The Slide Man",110,10
"Chain Gang","Jackie Wilson & Count Basie",78,5
"Chain Gang","Sam Cooke",1294,16
"Chain Gang Medley","Jim Croce",234,9
"Chain Hang Low","Jibbs",1390,20
"Chain Of Fools","Aretha Franklin",1024,12
"Chain Of Fools","Little Caesar",38,4
"Chain Of Fools (Part 1)","Jimmy Smith",2,2
"Chain Reaction","Diana Ross",207,11
"Chained","Marvin Gaye",536,10
"Chained And Bound","Otis Redding",102,7
"Chained To The Rhythm","Katy Perry Featuring Skip Marley",961,15
"Chains","Nick Jonas",1361,20
"Chains","The Cookies",765,12
"Chains","Tina Arena",516,12
"Chains And Things","B.B. King",339,8
"Chains Around My Heart","Richard Marx",488,13
"Chains Of Love","Bobby Bland",186,7
"Chains Of Love","Erasure",1118,20
"Chains Of Love","The Drifters",22,2
"Chainsaw","The Band Perry",96,9
"Chairman Of The Board","Chairman Of The Board",394,8
"Chameleon","Herbie Hancock",392,11
"Champagne Jam","Atlanta Rhythm Section",348,9
"Champagne Life","Ne-Yo",130,8
"Champagne Night","Lady A",368,14
"Champagne Poetry","Drake",368,7
"Champagne Problems","Taylor Swift",104,2
"Champion","NAV Featuring Travis Scott",15,1
"CHAMPION","DaBaby",16,1
"Champions","Kanye West, Gucci Mane, Big Sean, 2 Chainz, Travi$ Scott, Yo Gotti, Quavo, Desiigner",55,3
"Championships","Meek Mill",31,1
"Chances","Five For Fighting",18,1
"Chandelier","Sia",3405,46
"Chanel","Frank Ocean",29,1
"Chanel (Go Get It)","Young Thug Featuring Gunna & Lil Baby",61,4
"Change","J. Cole",98,2
"Change","John Waite",294,10
"Change","Lisa Stansfield",999,20
"Change","Taylor Swift",154,3
"Change","Tears For Fears",114,6
"Change Clothes","JAY-Z",1058,18
"Change Lanes","Kevin Gates",33,1
"Change Locations","Drake & Future",39,3
"Change Me","Justin Bieber",42,1
"Change Me","Ruben Studdard",7,1
"Change My Mind","Meghan Linsey",9,1
"Change Of Heart","Cyndi Lauper",1192,17
"Change Of Heart","Dennis Yost And The Classics IV",292,7
"Change Of Heart","Eric Carmen",849,16
"Change Of Heart","Tom Petty And The Heartbreakers",691,11
"Change Partners","Stephen Stills",368,9
"Change The Game","Jay-Z, Beanie Sigel And Memphis Bleek",92,14
"Change The World","Eric Clapton",3368,43
"Change With The Times","Van Mccoy",335,8
"Change Your Life","Kehlani Featuring Jhene Aiko",21,1
"Change Your Mind","Sister Hazel",368,20
"Changed","Rascal Flatts",76,8
"Changed It","Nicki Minaj & Lil Wayne",30,1
"Changes","2Pac",889,19
"Changes","Crispian St. Peters",181,7
"Changes","David Bowie",650,18
"Changes","Loggins & Messina",31,2
"Changes","XXXTENTACION",855,20
"Changes In Latitudes, Changes In Attitudes","Jimmy Buffett",448,10
"Chantaje","Shakira Featuring Maluma",487,18
"Chante's Got A Man","Chante Moore",1118,18
"Chantilly Lace","Big Bopper",1829,25
"Chantilly Lace","Jerry Lee Lewis",469,10
"Chapel By The Sea","Billy Vaughn And His Orchestra",130,6
"Chapel In The Moonlight","The Bachelors",332,7
"Chapel Of Dreams","The Dubs",59,6
"Chapel Of Love","The Dixie Cups",1093,13
"Charade","Andy Williams",1,1
"Charade","Henry Mancini And His Orchestra",498,11
"Charade","Sammy Kaye And His Orchestra",331,7
"Charged Up","Drake",23,1
"Chariot","Gavin DeGraw",961,20
"Chariot Rock","The Champs",192,7
"Chariots Of Fire - Titles","Vangelis",1649,28
"Charity Ball","Fanny",475,10
"Charlena","The Sevilles",45,5
"Charlene","Anthony Hamilton",1484,22
"Charlie Brown","The Coasters",1215,15
"Charlie Last Name: Wilson","Charlie Wilson",317,14
"Charm The Snake","Christopher Cross",108,5
"Charmer","Tim Moore",23,3
"Charms","Bobby Vee",684,10
"Chase","Giorgio Moroder",557,12
"Chase The Clouds Away","Chuck Mangione",13,4
"Chasin' The Wind","Chicago",459,11
"Chasin' You","Morgan Wallen",2110,36
"Chasing After You","Ryan Hurd With Maren Morris",1149,26
"Chasing Cars","Snow Patrol",3056,45
"Chasing Pavements","Adele",178,7
"Chasing The Sun","Hilary Duff",22,1
"Chasing The Sun","The Wanted",490,15
"Chattahoochee","Alan Jackson",694,20
"Chattanooga Choo Choo","Ernie Fields & Orch.",244,8
"Chattanooga Choo Choo","Floyd Cramer",379,8
"Chattanooga Choo Choo","Harpers Bizarre",278,7
"Chattanooga Choo Choo","Tuxedo Junction",649,17
"Chattanooga Shoe Shine Boy","Freddy Cannon",354,7
"Cheap Sunglasses","ZZ Top",24,2
"Cheap Thrills","Sia Featuring Sean Paul",3817,52
"Cheaper To Keep Her","Johnnie Taylor",732,11
"Cheated (To All The Girls)","Wyclef Jean Featuring Queen Pen & The Product",177,8
"Cheatin'","Sara Evans",183,12
"Check","Young Thug",1,1
"Check It Out","Bobby Womack",17,3
"Check It Out","John Mellencamp",938,15
"Check It Out","Tavares",579,12
"Check It Out","will.i.am & Nicki Minaj",703,15
"Check My Brain","Alice In Chains",20,4
"Check On It","Beyonce Featuring Slim Thug",2306,28
"Check Out Your Mind","The Impressions",719,12
"Check Yes Juliet (Run Baby Run)","WE the Kings",187,11
"Check Yo Self","Ice Cube Featuring Das EFX",1031,20
"Check Yourself","I.A.P. Co. (the Italian Asphalt & Pavement Company)",6,2
"Cheer","Potliquor",260,11
"Cheerleader","OMI",2814,35
"Cheers (Drink To That)","Rihanna",1163,18
"Cheers 2 U","Playa",1023,20
"Cheeseburger In Paradise","Jimmy Buffett",503,11
"Chelsea Morning","Judy Collins",65,4
"Chemicals React","Aly & AJ",117,4
"Cherchez LaGhost","Ghostface Killah",3,1
"Cherié","Bobby Rydell",137,4
"Cherish","David Cassidy",936,12
"Cherish","Kool & The Gang",1598,25
"Cherish","Madonna",1092,15
"Cherish","The Association",1148,14
"Cherish What Is Dear To You (While It's Near to You)","Freda Payne",361,8
"Cherokee","Europe",154,10
"Cherry","Harry Styles",17,1
"Cherry Baby","Starz",424,10
"Cherry Berry Wine","Charlie Mccoy",2,1
"Cherry Bomb","John Mellencamp",1218,21
"Cherry Hill Park","Billy Joe Royal",949,15
"Cherry Pie","Skip And Flip",953,15
"Cherry Pie","Warrant",1013,19
"Cherry Pink And Apple Blossom White","Jerry Murad's Harmonicats",218,8
"Cherry, Cherry","Neil Diamond",836,12
"Cherrystone","Addrisi Brothers",115,6
"Cheryl Moana Marie","John Rowles",203,8
"Chevy Van","Sammy Johns",1201,17
"Chewy Chewy","Ohio Express",919,13
"Cheyenne","Jason Derulo",144,7
"Chicago","Graham Nash",584,11
"Chicago Freestyle","Drake Featuring Giveon",469,12
"Chick-A-Boom (Don't Ya Jes' Love It)","Daddy Dewdrop",1097,16
"Chicken Feed","Bent Fabric and His Piano",240,8
"Chicken Fried","Zac Brown Band",1671,25
"Chicken Noodle Soup","j-hope Featuring Becky G.",20,1
"Chicken Noodle Soup.","Webstar & Young B Featuring The Voice Of Harlem",350,13
"Chicken Strut","The Meters",303,8
"Chicken Tendies","Clinton Kane",13,1
"Chickenhead","Project Pat",99,12
"Chicks Dig It","Chris Cagle",441,15
"Chico And The Man","Jose Feliciano",9,2
"Chief Rocka","Lords Of The Underground",603,20
"Child Of Clay","Jimmie Rodgers",467,8
"Child Of God","Bobby Darin",6,1
"Child Of Our Times","Barry McGuire",99,4
"Children","Joe South",252,7
"Children","Justin Bieber",27,1
"Children","Robert Miles",1368,20
"Children Of The Night","Richard Marx",974,15
"Children Of The Sun","Billy Thorpe",374,10
"Childs Play","Drake",369,14
"Chill Bill","Rob $tone Featuring J. Davi$ & Spooks",1411,26
"Chillin","Wale Featuring Lady Gaga",2,1
"Chillin' It","Cole Swindell",899,20
"Chillin' Like A Villain","Sofia Carson, Cameron Boyce, Booboo Stewart & Mitchell Hope",6,1
"Chills And Fever","Ronnie Love And His Orchestra",60,4
"Chim, Chim, Cheree","The New Christy Minstrels",76,5
"China","Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin",641,18
"China","Red Rockers",295,10
"China Doll","The Ames Brothers",568,13
"China Girl","David Bowie",1173,18
"China Grove","The Doobie Brothers",837,13
"China Nights (Shina No Yoru)","Kyu Sakamoto",196,6
"Chinese Checkers","Booker T. & The MG's",84,7
"Chinese Democracy","Guns N' Roses",112,3
"Chinese Food","Alison Gold",72,1
"Chinese Kung Fu","Banzaii",3,1
"Ching-A-Ling","Missy Elliott",256,9
"Chip Away The Stone","Aerosmith",66,3
"Chip Chip","Gene McDaniels",725,11
"Chip Off The Old Block","Eddy Arnold",6,2
"Chiquitita","ABBA",629,12
"Chirpy Chirpy Cheep Cheep","Mac And Katie Kissoon",916,15
"Chirpy Chirpy, Cheep Cheep","Lally Stott",18,2
"Chitty Chitty Bang Bang","Paul Mauriat",166,8
"Chloe","Elton John",535,13
"Chloe (You're The One I Want)","Emblem3",18,3
"Chocolate","The 1975",65,6
"Chocolate Chip","Isaac Hayes",16,2
"Chocolate City","Parliament",17,3
"Choice Of Colors","The Impressions",739,11
"Choo Choo Mama","Ten Years After",38,6
"Choo Choo Train","The Box Tops",526,8
"Choose","Color Me Badd",909,17
"Chop Suey","System Of A Down",284,20
"Choppa Style","Choppa Featuring Master P",27,6
"Chopped 'N' Skrewed","T-Pain Featuring Ludacris",975,19
"CHopstix","ScHoolboy Q + Travis Scott",16,1
"Chorus","Erasure",146,11
"Chosen","Blxst & Tyga Featuring Ty Dolla $ign",143,5
"Christine Sixteen","KISS",699,12
"Christmas (Baby Please Come Home)","Darlene Love",457,7
"Christmas Auld Lang Syne","Bobby Darin",105,3
"Christmas Dream","Perry Como",13,2
"Christmas For Cowboys","John Denver",126,4
"Christmas Lights","Coldplay",160,3
"Christmas Song (Chestnuts Roasting On An Open Fire)","Justin Bieber Featuring Usher",43,1
"Christmas Tree Farm","Taylor Swift",42,1
"Chrome","Trace Adkins",79,4
"Chrome Heart Tags","Lil Uzi Vert",56,1
"Chuck E.'s In Love","Rickie Lee Jones",1147,15
"Chug-A-Lug","Roger Miller",844,13
"Chun-Li","Nicki Minaj",789,16
"Church","Bob Welch",68,3
"Church Bells","Carrie Underwood",620,17
"Church Of The Poison Mind","Culture Club",1150,17
"Church Of Your Heart","Roxette",519,11
"Church Street Soul Revival","Tommy James",224,7
"Ciao, Ciao Bambina","Jacky Noguez And His Musette Orchestra",563,12
"Cigarettes And Coffee Blues","Marty Robbins",12,2
"Cimarron (Roll On)","Billy Vaughn And His Orchestra",344,10
"Cinderella","Firefall",445,10
"Cinderella","Jack Ross",561,9
"Cinderella","Paul Anka",70,4
"Cinderella","The Four Preps",121,7
"Cinderella Rockefella","Esther & Abi Ofarim",137,6
"Cinderella Story","A Boogie Wit da Hoodie",6,1
"Cinderella Sunshine","Paul Revere & The Raiders Featuring Mark Lindsay",220,6
"Cindy's Birthday","Johnny Crawford",854,13
"Cindy's Gonna Cry","Johnny Crawford",111,7
"Cindy Incidentally","Faces",356,9
"Cinnamon","Derek",1063,15
"Cinnamon Girl","Neil Young & Crazy Horse",324,9
"Cinnamon Girl","The Gentrys",427,12
"Circle","Edie Brickell & New Bohemians",377,10
"Circle","Marques Houston",72,6
"Circle In The Sand","Belinda Carlisle",1092,17
"Circle Of Life (From ""The Lion King"")","Elton John",1233,20
"Circle Of Love","The Steve Miller Band",190,7
"Circle The Drain","Katy Perry",43,1
"Circles","Atlantic Starr",481,11
"Circles","Mac Miller",53,1
"Circles","Megan Thee Stallion",7,1
"Circles","Post Malone",5625,61
"Circles","The New Seekers",49,5
"Circus","Britney Spears",1846,22
"Cissy Strut","The Meters",565,11
"Citizen/Soldier","3 Doors Down",7,2
"City In The Sky","The Staple Singers",108,7
"City Lights","Debbie Reynolds",126,4
"City Lights","Ivory Joe Hunter",12,2
"City Lights","Ray Price",88,3
"Clair","Gilbert O'Sullivan",1284,16
"Clap Back","Ja Rule",400,10
"Clap For The Wolfman","The Guess Who",1088,16
"Clap Your Hands","The Beau-Marks",462,14
"Clarity","Zedd Featuring Foxes",2285,33
"Class Reunion (That Used To Be Us)","Lonestar",9,3
"Classic","MKTO",1610,27
"Classic Man","Jidenna Featuring Roman GianArthur",1219,21
"Classical Gas","Mason Williams",1058,14
"Clean Up Woman","Betty Wright",1074,14
"Clean Up Your Own Back Yard","Elvis Presley",407,8
"Cleanin' Out My Closet","Eminem",1362,20
"Cleanin' Up The Town","Bus Boys",88,5
"Cleaning This Gun (Come On In Boy)","Rodney Atkins",706,20
"Clear Da Air","Moneybagg Yo",1,1
"Clementine","Bobby Darin",565,9
"Clementine","Jan & Dean",111,6
"Cleo's Back","Jr. Walker & The All Stars",291,8
"Cleo's Mood","Jr. Walker & The All Stars",257,6
"Cleopatra's Cat","Spin Doctors",40,3
"Cleopatra's Theme","Cleopatra",945,19
"Climax","Usher",1267,20
"Climb Ev'ry Mountain","Tony Bennett",115,5
"Climb Every Mountain","Jordan Smith",29,1
"Climb Every Mountain","The Hesitations",26,3
"Clinging Vine","Bobby Vinton",514,8
"Clint Eastwood","Gorillaz",341,11
"Clique","Kanye West, Jay-Z, Big Sean",1701,22
"Clock Strikes","Timbaland & Magoo",533,14
"Clocks","Coldplay",1266,22
"Clones (We're All)","Alice Cooper",394,9
"close","J. Cole",68,1
"Close","Nick Jonas Featuring Tove Lo",1386,20
"Close","Rae Sremmurd & Travis Scott",3,1
"Close Enough To Perfect","Alabama",195,12
"Close Friends","Lil Baby",1277,33
"Close My Eyes Forever","Lita Ford (Duet With Ozzy Osbourne)",1445,25
"Close The Door","Teddy Pendergrass",688,13
"Close To Cathy","Mike Clifford",819,13
"Close To Me","Ellie Goulding X Diplo Featuring Swae Lee",1458,25
"Close To Me","The Cure",7,3
"Close To You","B.T. Express",61,4
"Close To You","Fun Factory",704,20
"Close To You","Maxi Priest",1896,30
"Close Together","Jimmy Reed",101,4
"Close Your Eyes","Edward Bear",586,12
"Close Your Eyes","Parmalee",303,16
"Close Your Eyes","Peaches & Herb",836,12
"Closed On Sunday","Kanye West",101,2
"Closer","Ne-Yo",2801,39
"Closer","Nine Inch Nails",917,22
"Closer","Remedy",147,6
"Closer","Tegan And Sara",20,3
"Closer","The Chainsmokers Featuring Halsey",4581,52
"Closer Than Friends","Surface",307,13
"Closer To Fine","Indigo Girls",300,9
"Closer To Free (From ""Party Of Five"")","BoDeans",1374,20
"Closer To Home (I'm Your Captain)","Grand Funk Railroad",768,12
"Closer To Love","Mat Kearney",30,7
"Closer To Me","The Outfield",438,11
"Closer To The Edge","Thirty Seconds To Mars",2,1
"Closer To The Heart","Rush",205,11
"Closet Freak","Cee-Lo",6,3
"Closure","Taylor Swift",19,1
"Clothes Off!!","Gym Class Heroes",158,6
"Cloud Nine","Mongo Santamaria",353,8
"Cloud Nine","The Temptations",980,12
"Clouds","David Gates",375,8
"Clouds","NF",56,2
"Clouds","Zach Sobiech",84,2
"Cloudy Summer Afternoon (Raindrops)","Barry McGuire",217,7
"Clout","Offset Featuring Cardi B",944,20
"Club At The End Of The Street","Elton John",727,16
"Club Can't Handle Me","Flo Rida Featuring David Guetta",2138,29
"Club Michelle","Eddie Money",148,7
"Club Paradise","Drake",16,1
"Clubbin","Marques Houston Featuring Joe Budden & Pied Piper",837,20
"Clueless","Polo G Featuring Pop Smoke & Fivio Foreign",22,1
"Clumsy","Fergie",2056,25
"Co-Co","The Sweet",4,2
"Coal Miner's Daughter","Loretta Lynn",62,4
"Cochise","Audioslave",321,15
"Cocktales","Too $hort",159,9
"CoCo","O.T. Genasis",1218,20
"Coco Jamboo","Mr. President",1233,20
"Cocomotion","El Coco",366,15
"Coconut","Nilsson",984,14
"Coconut Juice","Tyga Featuring Travis McCoy",7,1
"Codeine Dreaming","Kodak Black Featuring Lil Wayne",363,14
"Coffee","Miguel",41,3
"Coffee Bean","Travis Scott",33,1
"Coffee Shop","Yung Joc Featuring Gorilla Zoe",23,1
"Cold","Crossfade",236,23
"Cold","Maroon 5 Featuring Future",1254,20
"Cold As Ice","Foreigner",1475,21
"Cold As You","Luke Combs",449,13
"Cold Beer Calling My Name","Jameson Rodgers Featuring Luke Combs",737,17
"Cold Blooded","Rick James",490,12
"Cold Cold Winter","The Pixies Three",49,5
"Cold Day In July","Dixie Chicks",257,10
"Cold Feet","Albert King",97,4
"Cold Hard Bitch","Jet",610,20
"Cold Heart (PNAU Remix)","Elton John & Dua Lipa",416,8
"Cold Hearted","Paula Abdul",1532,21
"Cold Love","Donna Summer",589,12
"Cold One","Eric Church",53,6
"Cold Rock A Party","MC Lyte",1445,20
"Cold Shower","Erin Cruise",37,7
"Cold Sweat - Part 1","James Brown And The Famous Flames",808,12
"Cold Turkey","Plastic Ono Band",680,12
"Cold Water","Major Lazer Featuring Justin Bieber & MO",2301,27
"Cold Wind Blows","Eminem",30,1
"Cold World","Genius/GZA Featuring Inspektah Deck",6,3
"Cold, Cold Heart","Dinah Washington",5,1
"Colder Weather","Zac Brown Band",1000,20
"Cole, Cooke & Redding","Wilson Pickett",34,4
"Collard Greens","ScHoolboy Q Featuring Kendrick Lamar",45,8
"Collide","Howie Day",1877,32
"Color Him Father","The Winstons",926,13
"Color My World","Petula Clark",622,9
"Colorado","Danny Holien",178,8
"Colors","Ice-T",140,7
"Colors Of The Wind (From ""Pocahontas"")","Vanessa Williams",1808,23
"Colour Of Love","Amber",162,10
"Colours","Donovan",174,7
"Come & Get It","Selena Gomez",1821,22
"Come & Go","Juice WRLD x Marshmello",1559,20
"Come & Talk To Me","Jodeci",1943,28
"Come A Little Bit Closer","Jay & The Americans",1076,15
"Come A Little Closer","Dierks Bentley",911,20
"Come Again","Damn Yankees",353,10
"Come Along","Maurice Williams & The Zodiacs",32,2
"Come An' Get Yourself Some","Leon Haywood",52,3
"Come And Get It","Badfinger",1050,15
"Come And Get Me","Jackie DeShannon",52,3
"Come And Get These Memories","Martha & The Vandellas",802,16
"Come And Get With Me","Keith Sweat Featuring Snoop Dogg",814,15
"Come And Get Your Love","Real McCoy",1304,20
"Come And Get Your Love","Redbone",1660,23
"Come And Get Your Love","Roger Daltrey",157,8
"Come And See Me","PARTYNEXTDOOR Featuring Drake",656,24
"Come And Stay With Me","Marianne Faithfull",479,9
"Come Around Me","Justin Bieber",15,1
"Come As You Are","Nirvana",755,18
"Come As You Are","Peter Wolf",859,15
"Come Away To The Water","Maroon 5 Featuring Rozzi Crane",18,1
"Come Baby Come","K7",1277,21
"Come Back","Jimmy Clanton",187,8
"Come Back","Johnny Mathis",166,6
"Come Back","Londonbeat",93,5
"Come Back","The Five Stairsteps",181,6
"Come Back","The J. Geils Band",581,12
"Come Back And Stay","Paul Young",849,15
"Come Back Baby","Roddie Joy",48,5
"Come Back Home","Bobby Goldsboro",154,6
"Come Back Silly Girl","The Lettermen",702,11
"Come Back Song","Darius Rucker",777,20
"Come Back To Earth","Mac Miller",10,1
"Come Back To Me","David Cook",372,19
"Come Back To Me","Janet Jackson",1161,17
"Come Back To Me","Vanessa Hudgens",468,19
"Come Back When You Grow Up","Bobby Vee And The Strangers",1218,16
"Come Clean","Hilary Duff",592,13
"Come Clean","Jeru The Damaja",34,4
"Come Close To Me","Common Featuring Mary J. Blige",316,15
"Come Closer To Me (Acercate Mas)","Nat King Cole",444,9
"Come Dance With Me","Jay & The Americans",162,8
"Come Dancing","The Kinks",1168,17
"Come Get Her","Rae Sremmurd",473,19
"Come Get It Bae","Pharrell Williams",444,15
"Come Get To This","Marvin Gaye",729,13
"Come Give Your Love To Me","Janet Jackson",253,9
"Come Go With Me","Dion",245,6
"Come Go With Me","Expose",1266,19
"Come Go With Me","Pockets",95,9
"Come Go With Me","The Beach Boys",805,15
"Come Home","Faith Hill",19,1
"Come Home","OneRepublic With Sara Bareilles",21,1
"Come Home","The Dave Clark Five",575,9
"Come Home Soon","SHeDAISY",135,7
"Come Home With Me Baby","Dead Or Alive",163,8
"Come In From The Rain","Captain & Tennille",174,7
"Come In Out Of The Rain","Wendy Moten",473,15
"Come In Stranger","Johnny Cash And The Tennessee Two",14,1
"Come In With The Rain","Taylor Swift",71,1
"Come Inside","Intro",959,20
"Come Into My Heart","Lloyd Price and His Orchestra",850,14
"Come Into My Life","Jimmy Cliff",34,3
"Come Into My World","Kylie Minogue",64,8
"Come Join The Murder","The White Buffalo & The Forest Rangers",8,1
"Come Live With Me","Ray Charles",59,6
"Come Live With Me","Roy Clark",19,3
"Come Monday","Jimmy Buffett",648,14
"Come On","Barry White",15,2
"Come On","Billy Lawrence Featuring MC Lyte",698,19
"Come On","Tommy Roe",402,8
"Come On And Get Me","Fabian",376,8
"Come On And Say It","The Grass Roots",175,6
"Come On And See Me","Tammi Terrell",60,5
"Come On Baby","Bruce Channel",4,2
"Come On Do The Jerk","The Miracles",299,8
"Come On Down To My Boat","Every Mothers' Son",1107,15
"Come On Eileen","Dexys Midnight Runners",1552,23
"Come On Get Higher","Matt Nathanson",544,20
"Come On Let's Go","The McCoys",533,9
"Come On Little Angel","The Belmonts",686,14
"Come On Over","Jessica Simpson",161,7
"Come On Over","Olivia Newton-John",664,12
"Come On Over","Shania Twain",364,10
"Come On Over","The Strollers",17,2
"Come On Over Baby (All I Want Is You)","Christina Aguilera",1702,21
"Come On Over To My Place","The Drifters",115,5
"Come On Sock It To Me","Syl Johnson",10,3
"Come On Up","The Young Rascals",315,7
"Come On, Let's Go","Los Lobos",745,14
"Come On, Let's Go","Ritchie Valens",341,13
"Come On, React!","The Fireballs",126,8
"Come Out And Play","Billie Eilish",32,1
"Come Out Fighting","Easterhouse",53,4
"Come Over","Aaliyah",1103,20
"Come Over","Kenny Chesney",1172,20
"Come Over To My Place","Davina",102,9
"Come Prima","Tony Dallara",162,7
"Come Prima (Koma Preema)","Polly Bergen",116,6
"Come Rain Or Come Shine","Ray Charles",28,4
"Come Running","Van Morrison",387,8
"Come Running Back","Dean Martin",329,7
"Come Sail Away","Styx",1483,22
"Come Saturday Morning","The Sandpipers",896,20
"Come See","Major Lance",308,7
"Come See About Me","Jr. Walker & The All Stars",618,11
"Come See About Me","Nella Dodds",58,3
"Come See About Me","The Supremes",1236,14
"Come See Me","112",892,20
"Come September","Billy Vaughn And His Orchestra",126,6
"Come Share The Good Times With Me","Julie Monday",8,2
"Come Softly To Me","Ronnie Height",251,6
"Come Softly To Me","The Fleetwoods",1236,16
"Come Softly To Me","The New Seekers",12,3
"Come This Way","Lil Uzi Vert",18,1
"Come Through","H.E.R. Featuring Chris Brown",290,16
"Come Thru","Drake",14,1
"Come Thru","Summer Walker & Usher",348,19
"Come To Life","Kanye West",24,1
"Come To Me","Aretha Franklin",39,3
"Come To Me","Diddy Featuring Nicole Scherzinger",1256,20
"Come To Me","France Joli",820,16
"Come To Me","Marv Johnson",712,15
"Come To Me","Otis Redding",109,7
"Come To Me","Tommy James And The Shondells",351,8
"Come To Me Softly","Jimmy James & The Vagabonds",67,3
"Come To My Window","Melissa Etheridge",2585,44
"Come To The Sunshine","Harpers Bizarre",326,7
"Come Together","Aerosmith",673,12
"Come Together","Ike & Tina Turner & The Ikettes",278,8
"Come Together/Something","The Beatles",1438,16
"Come Tomorrow","Manfred Mann",226,6
"Come Undone","Duran Duran",1781,25
"Come Wake Me Up","Rascal Flatts",652,20
"Come What May","Clyde McPhatter",158,3
"Come With Me","Keith Sweat (Featuring Ronald Isley)",243,11
"Come With Me","Puff Daddy Featuring Jimmy Page",1486,20
"Come With Me","Shai",724,20
"Come With Me Now","KONGOS",1030,21
"Comedown","Bush",1120,20
"Comfortable","K Camp",482,15
"Comforter","Shai",1807,24
"Comin' Down Tonight","Thirty Eight Special",166,7
"Comin' Down With Love","Mel Gadson",87,5
"Comin' Home","Delaney & Bonnie & Friends/Eric Clapton",34,3
"Comin' Home Baby","Mel Torme",484,11
"Comin' In And Out Of Your Life","Barbra Streisand",1115,16
"Comin' In The Back Door","The Baja Marimba Band",368,9
"Comin' On","Bill Black's Combo",126,5
"Comin' On Strong","Sudden Change",461,17
"Comin' On Too Strong","Wayne Newton",157,5
"Comin' To Your City","Big & Rich",89,6
"Comin Out Strong","Future Featuring The Weeknd",78,3
"Coming Around Again","Carly Simon",917,17
"Coming Back To You","Maxine Brown",4,2
"Coming Down From Love","Bobby Caldwell",402,10
"Coming Home","Cinderella",882,17
"Coming Home","Diddy - Dirty Money Featuring Skylar Grey",1846,24
"Coming Home","Keith Urban Featuring Julia Michaels",203,7
"Coming Home Soldier","Bobby Vinton",801,12
"Coming Of Age","Damn Yankees",349,12
"Coming On Strong","Brenda Lee",856,13
"Coming Out Of The Dark","Gloria Estefan",1321,19
"Coming To America","The System",33,5
"Coming Undone","Korn",77,6
"Coming Up (Live At Glasgow)","Paul McCartney And Wings",1631,21
"Coming Up Close","'Til Tuesday",277,10
"Coming Up You","The Cars",101,5
"Commas","Future",643,20
"Commercial","Lil Baby Featuring Lil Uzi Vert",111,2
"Commitment Of The Heart","Clive Griffin",12,3
"Commotion","Creedence Clearwater Revival",498,8
"Communication","Spandau Ballet",183,7
"Communication","The Power Station",489,10
"Communication Breakdown","Roy Orbison",217,7
"Company","Justin Bieber",360,12
"Compared To What","Les McCann & Eddie Harris",48,4
"Compass","Lady Antebellum",711,20
"Competition Ain't Nothin'","Little Carl Carlton",144,8
"Completely","Michael Bolton",600,15
