,Artists,Name
8989,Avenged Sevenfold,Hail To The King
8990,Starland Vocal Band,Hail! Hail! Rock And Roll!
8991,Lady Gaga,Hair
8992,The Cowsills,Hair
8993,Cher,Half-Breed
8994,Marvin Rainwater,Half-Breed
8995,Albert Hammond,Half A Million Miles From Home
8996,Gene Pitney,Half Heaven - Half Heartache
8997,Hotel,Half Moon Silver
8998,John Mayer,Half Of My Heart
8999,Kelsea Ballerini Featuring Kenny Chesney,Half Of My Hometown
9000,Crystal Gayle,Half The Way
9001,Musiq,halfcrazy
9002,Lifehouse,Halfway Gone
9003,Big Sean,Halfway Off The Balcony
9004,Big Time Rush,Halfway There
9005,Bobby Vinton,Halfway To Paradise
9006,Tony Orlando,Halfway To Paradise
9007,The Script Featuring will.i.am,Hall Of Fame
9008,Hurricane Chris Featuring SupaSTAAR,Halle Berry (She's Fine)
9009,Love And Money,Halleluiah Man
9010,Carrie Underwood & John Legend,Hallelujah
9011,Jordan Smith,Hallelujah
9012,Justin Timberlake & Matt Morris Featuring Charlie Sexton,Hallelujah
9013,Kate Voegele,Hallelujah
9014,Lee DeWyze,Hallelujah
9015,Leonard Cohen,Hallelujah
9016,Lindsey Stirling,Hallelujah
9017,Matthew Schuler,Hallelujah
9018,Panic! At The Disco,Hallelujah
9019,Pentatonix,Hallelujah
9020,Sweathog,Hallelujah
9021,k.d. lang,Hallelujah (Vancouver Winter 2010 Version)
9022,Jackson 5,Hallelujah Day
9023,Peggy Lee,Hallelujah I Love Him So
9024,Billie Eilish,Halley's Comet
9025,The Dells,Hallways Of My Mind
9026,Beyonce,Halo
9027,Jordan Smith,Halo
9028,Glee Cast,Halo / Walking On Sunshine
9029,The Meters,Hand Clapping Song
9030,Chuck Jackson,Hand It Over
9031,The Strangeloves,Hand Jive
9032,The Guess Who,Hand Me Down World
9033,Mac Miller,Hand Me Downs
9034,John Cougar,Hand To Hold On To
9035,Chase,Handbags And Gladrags
9036,Rod Stewart,Handbags And Gladrags
9037,Fitz And The Tantrums,HandClap
9038,YG Featuring A$AP Rocky,Handgun
9039,Traveling Wilburys,Handle With Care
9040,Flobots,Handlebars
9041,Jewel,Hands
9042,Voices Of America,Hands Across America
9043,Modern English,Hands Across The Sea
9044,Alanis Morissette,Hands Clean
9045,Ty Herndon,Hands Of A Working Man
9046,Kanye West Featuring Fred Hammond,Hands On
9047,Henry Lee Summer,Hands On The Radio
9048,Scandal Featuring Patty Smyth,Hands Tied
9049,Breathe,Hands To Heaven
9050,Selena Gomez,Hands To Myself
9051,Lloyd Banks Featuring 50 Cent,Hands Up
9052,Migos,Handsome And Wealthy
9053,Del Shannon,Handy Man
9054,James Taylor,Handy Man
9055,Jimmy Jones,Handy Man
9056,Booker T. & The MG's,Hang 'Em High
9057,Hugo Montenegro His Orchestra And Chorus,Hang 'Em High
9058,Sadat X,Hang 'Em High
9059,The Rolling Stones,Hang Fire
9060,Phil Collins,Hang In Long Enough
9061,Mandrill,Hang Loose
9062,Floyd Cramer,Hang On
9063,Johnny Bristol,Hang On In There Baby
9064,Kajagoogoo,Hang On Now
9065,Ramsey Lewis Trio,Hang On Sloopy
9066,Rick Derringer,Hang On Sloopy
9067,The Lettermen,Hang On Sloopy
9068,The McCoys,Hang On Sloopy
9069,The Guess Who,Hang On To Your Life
9070,Edgar Winter Group,Hangin' Around
9071,Chris Young,Hangin' On
9072,Loose Ends,Hangin' On A String
9073,New Kids On The Block,Hangin' Tough
9074,Counting Crows,Hanginaround
9075,Lifehouse,Hanging By A Moment
9076,Cheyenne Kimball,Hanging On
9077,Device,Hanging On A Heart Attack
9078,PSY Featuring Snoop Dogg,Hangover
9079,Taio Cruz Featuring Flo Rida,Hangover
9080,Madonna,Hanky Panky
9081,Tommy James And The Shondells,Hanky Panky
9082,Lonnie Gordon,Happenin' All Over Again
9083,The Yardbirds,Happenings Ten Years Time Ago
9084,Ed Sheeran,Happier
9085,Marshmello & Bastille,Happier
9086,Olivia Rodrigo,Happier
9087,Paul Anka,Happier
9088,Billie Eilish,Happier Than Ever
9089,B.J. Thomas,Happier Than The Morning Sun
9090,Case,Happily Ever After
9091,Billy Lawrence,Happiness
9092,Shades Of Blue,Happiness
9093,Taylor Swift,Happiness
9094,The Pointer Sisters,Happiness
9095,The Main Ingredient,Happiness Is Just Around The Bend
9096,Gilbert O'Sullivan,Happiness Is Me And You
9097,Jhene Aiko Featuring Future & Miguel,Happiness Over Everything (H.O.E.)
9098,Ashanti,Happy
9099,Bobby Darin,Happy
9100,Eddie Kendricks,Happy
9101,Hog Heaven,Happy
9102,Legacy Of Sound Featuring Meja,Happy
9103,Leona Lewis,Happy
9104,Nancy Sinatra,Happy
9105,Paul Anka,Happy
9106,Pharrell Williams,Happy
9107,Surface,Happy
9108,The Blades Of Grass,Happy
9109,The Rolling Stones,Happy
9110,The Sunshine Company,Happy
9111,Paul Evans,Happy-Go-Lucky-Me
9112,Don And The Goodtimes,Happy And Me
9113,Jane Morgan,Happy Anniversary
9114,Little River Band,Happy Anniversary
9115,The Four Lads,Happy Anniversary
9116,Blake Shelton Featuring Gwen Stefani,Happy Anywhere
9117,Kathy Young With The Innocents,Happy Birthday Blues
9118,Neil Sedaka,Happy Birthday Sweet Sixteen
9119,Marv Johnson,Happy Days
9120,Pratt & McClain with Brother Love,Happy Days
9121,Silk,Happy Days
9122,Glee Cast,Happy Days Are Here Again / Get Happy
9123,Kenny Chesney,Happy Does
9124,Joe Jackson,Happy Ending
9125,Andy Williams,Happy Heart
9126,Petula Clark,Happy Heart
9127,Andy Williams,Happy Holiday / The Holiday Season
9128,Deodato,Happy Hour
9129,The Who,Happy Jack
9130,Jack Ross,Happy Jose (Ching-Ching)
9131,Troye Sivan,Happy Little Pill
9132,Greg Kihn Band,Happy Man
9133,Impact,Happy Man (Pt. I)
9134,The Blackbyrds,Happy Music
9135,Zedd & Elley Duhe,Happy Now
9136,R. Kelly,Happy People
9137,The Temptations,Happy People
9138,Freddie Cannon,Happy Shades Of Blue
9139,Ronnie Dove,Happy Summer Days
9140,Tony Orlando,Happy Times (Are Here To Stay)
9141,The Nylons,Happy Together
9142,The Turtles,Happy Together
9143,Captain & Tennille,Happy Together (A Fantasy)
9144,Jackie Lee,Happy Vacation
9145,Dave "Baby" Cortez,Happy Weekend
9146,Samantha Cole,Happy With You
9147,John & Yoko/The Plastic Ono Band With The Harlem Community Choir,Happy Xmas (War Is Over)
9148,John Legend,Happy Xmas (War Is Over)
9149,The Fray,Happy Xmas (War Is Over)
9150,The Diamonds,Happy Years
9151,Mudvayne,Happy?
9152,The Platters,Harbor Lights
9153,Rihanna Featuring Jeezy,Hard
9154,Brantley Gilbert,Hard Days
9155,Moneybagg Yo & Future,Hard For The Next
9156,Chicago,Hard Habit To Break
9157,Elvis Presley With The Jordanaires,Hard Headed Woman
9158,JAY-Z,Hard Knock Life (Ghetto Anthem)
9159,Judy Collins,Hard Lovin' Loser
9160,KISS,Hard Luck Woman
9161,Carole King,Hard Rock Cafe
9162,Boz Scaggs,Hard Times
9163,James Taylor,Hard Times
9164,Paramore,Hard Times
9165,Jennifer Holliday,Hard Times For Lovers
9166,Judy Collins,Hard Times For Lovers
9167,Future,Hard To Choose One
9168,Sam Hunt,Hard To Forget
9169,Otis Redding,Hard To Handle
9170,Patti Drew,Hard To Handle
9171,The Black Crowes,Hard To Handle
9172,Lee Brice,Hard To Love
9173,Dan Fogelberg,Hard To Say
9174,Az Yet Featuring Peter Cetera,Hard To Say I'm Sorry
9175,Chicago,Hard To Say I'm Sorry
9176,John Handy,Hard Work
9177,Derez De'Shon,Hardaway
9178,Quarterflash,Harden My Heart
9179,Maroon 5,Harder To Breathe
9180,The Weeknd,Hardest To Love
9181,Ray Charles,Hardhearted Hannah
9182,The Viscounts,Harlem Nocturne
9183,Baauer,Harlem Shake
9184,Future Featuring Young Thug,Harlem Shake
9185,Bob And Earl,Harlem Shuffle
9186,The Rolling Stones,Harlem Shuffle
9187,The Traits,Harlem Shuffle
9188,Mulberry Lane,Harmless
9189,Billy Bland,Harmony
9190,Jeannie C. Riley,Harper Valley P.T.A.
9191,King Curtis & The Kingpins,Harper Valley P.T.A.
9192,Ben Colder,Harper Valley P.T.A. (Later That Same Day)
9193,Bobby Womack & Peace,Harry Hippie
9194,Ray Stevens,Harry The Hairy Ape
9195,Chicago,Harry Truman
9196,The Isley Brothers,Harvest For The World
9197,Royal Teens,Harvey's Got A Girl Friend
9198,Stevie Nicks,Has Anyone Ever Written Anything For You
9199,Anuel AA & Bad Bunny,Hasta Que Dios Diga
9200,TLC,Hat 2 Da Back
9201,Plain White T's,Hate (I Really Don't Like You)
9202,The Game Featuring 50 Cent,Hate It Or Love It
9203,Blue October,Hate Me
9204,Ellie Goulding & Juice WRLD,Hate Me
9205,Trippie Redd Featuring YoungBoy Never Broke Again,Hate Me
9206,Nas Featuring Puff Daddy,Hate Me Now
9207,Drake,Hate Sleeping Alone
9208,Rihanna Featuring Ne-Yo,Hate That I Love You
9209,Juice WRLD & Marshmello Featuring Polo G & The Kid LAROI,Hate The Other Side
9210,G-Eazy Featuring blackbear,Hate The Way
9211,The Hives,Hate To Say I Told You So
9212,Olivia O'Brien,Hate U Love U
9213,Lil Baby Lil Durk & Travis Scott,Hats Off
9214,Del Shannon,Hats Off To Larry
9215,Taylor Swift,Haunted
9216,Jumpin' Gene Simmons,Haunted House
9217,Camila Cabello Featuring Young Thug,Havana
9218,Kenny G,Havana
9219,Sue Thompson,Have A Good Time
9220,Bonnie Raitt,Have A Heart
9221,David Houston,Have A Little Faith
9222,4.0,Have A Little Mercy
9223,Bon Jovi,Have A Nice Day
9224,Blair,Have Fun Go Mad
9225,A Few Good Men,Have I Never
9226,Bobby Bare,Have I Stayed Away Too Long
9227,Sonny & Cher,Have I Stayed Too Long
9228,The Honeycombs,Have I The Right?
9229,Rod Stewart,Have I Told You Lately
9230,Jason Mraz,Have It All
9231,Chloe,Have Mercy
9232,James Brown And The Famous Flames,Have Mercy Baby
9233,The Bobbettes,Have Mercy Baby
9234,Teresa Brewer,Have You Ever Been Lonely (Have You Ever Been Blue)
9235,The Caravelles,Have You Ever Been Lonely (Have You Ever Been Blue)
9236,Freddie Jackson,Have You Ever Loved Somebody
9237,The Searchers,Have You Ever Loved Somebody
9238,Def Leppard,Have You Ever Needed Someone So Bad
9239,Bryan Adams,Have You Ever Really Loved A Woman?
9240,Creedence Clearwater Revival,Have You Ever Seen The Rain/Hey Tonight
9241,Brandy,Have You Ever?
9242,Darryl Worley,Have You Forgotten?
9243,The Duprees featuring Joey Vann,Have You Heard
9244,Jerry Vale,Have You Looked Into Your Heart
9245,Olivia Newton-John,Have You Never Been Mellow
9246,M.C. Hammer,Have You Seen Her
9247,The Chi-lites,Have You Seen Her
9248,The Byrds,Have You Seen Her Face
9249,The Rolling Stones,Have You Seen Your Mother Baby Standing In The Shadow?
9250,Michael Buble,Have Yourself A Merry Little Christmas
9251,Sam Smith,Have Yourself A Merry Little Christmas
9252,Carly Simon,Haven't Got Time For The Pain
9253,Michael Buble,Haven't Met You Yet
9254,Gonzalez,Haven't Stopped Dancing Yet
9255,Patrice Rushen,Haven't You Heard
9256,Dion,Havin' Fun
9257,Rod Stewart,Having A Party
9258,Sam Cooke,Having A Party
9259,Migos Featuring Drake,Having Our Way
9260,Maluma & The Weeknd,Hawai
9261,The Ventures,Hawaii Five-O
9262,The Waikikis,Hawaii Honeymoon
9263,The Waikikis,Hawaii Tattoo
9264,Billy Vaughn And His Orchestra,Hawaiian War Chant
9265,Crucial Conflict,Hay
9266,Richard Marx,Hazard
9267,The Bangles,Hazy Shade Of Winter
9268,The Righteous Brothers,He
9269,Today's People,He
9270,Heaven Bound with Tony Scotti,He'd Rather Have The Rain
9271,Jim Reeves,He'll Have To Go
9272,Solomon Burke,He'll Have To Go
9273,Jeanne Black,He'll Have To Stay
9274,Freddie Jackson,He'll Never Love You (Like I Do)
9275,Carole King,He's A Bad Boy
9276,Eddie Kendricks,He's A Friend
9277,The Marvelettes,He's A Good Guy (Yes He Is)
9278,Bee Gees,He's A Liar
9279,Mary Wells,He's A Lover
9280,High Inergy,He's A Pretender
9281,The Crystals,He's A Rebel
9282,Buffy Sainte-Marie,He's An Indian Cowboy In The Rodeo
9283,John Kongos,He's Gonna Step On You Again
9284,The Searchers,He's Got No Love
9285,The Exciters,He's Got The Power
9286,The Tokens,He's In Town
9287,MoKenStef,He's Mine
9288,Alice Wonder Land,He's Mine (I Love Him I Love Him I Love Him)
9289,David Hallyday,He's My Girl
9290,Irma Thomas,He's My Guy
9291,Jane Olivor,He's So Fine
9292,Jody Miller,He's So Fine
9293,Kristy And Jimmy McNichol,He's So Fine
9294,The Chiffons,He's So Fine
9295,Brenda Lee,He's So Heavenly
9296,The Pointer Sisters,He's So Shy
9297,The Crystals,He's Sure The Boy I Love
9298,Sister Sledge,He's The Greatest Dancer
9299,Freddie Scott,He Ain't Give You None
9300,The Hollies,He Ain't Heavy He's My Brother
9301,Neil Diamond,He Ain't Heavy...He's My Brother
9302,The Ad Libs,He Ain't No Angel
9303,Candi Staton,He Called Me Baby
9304,Ella Washington,He Called Me Baby
9305,Jagged Edge,He Can't Love U
9306,Michael Stanley Band,He Can't Love You
9307,Hannah Montana,He Could Be The One
9308,Josie Cotton,He Could Be The One
9309,The Shangri-Las,He Cried
9310,Vicki Lawrence,He Did With Me
9311,Brad Paisley,He Didn't Have To Be
9312,Tony Orlando & Dawn,He Don't Love You (Like I Love You)
9313,The Delfonics,He Don't Really Love You
9314,Reba McEntire,He Gets That From Me
9315,Ronnie Milsap,He Got You
9316,Heather Headley,He Is
9317,The Paris Sisters,He Knows I Love Him Too Much
9318,Tammy Wynette,He Loves Me All The Way
9319,Dream,He Loves U Not
9320,Bobbie Gentry,He Made A Woman Out Of Me
9321,Ashley Tisdale,He Said She Said
9322,Skeeter Davis,He Says The Same Things To Me
9323,Connie Francis,He Thinks I Still Care
9324,Barbra Streisand,He Touched Me
9325,Jody Miller,He Walks Like A Man
9326,Starpoint,He Wants My Body
9327,The Velvelettes,He Was Really Sayin' Somethin'
9328,Toni Braxton,He Wasn't Man Enough
9329,Jerry Butler,He Will Break Your Heart
9330,The Righteous Brothers,He Will Break Your Heart
9331,Nancy Ames,He Wore The Green Beret
9332,Joel Corry X MNEK,Head & Heart
9333,Avril Lavigne,Head Above Water
9334,The Babys,Head First
9335,Foreigner,Head Games
9336,Jon Pardi,Head Over Boots
9337,Allure Featuring NAS,Head Over Heels
9338,Go-Go's,Head Over Heels
9339,Tears For Fears,Head Over Heels
9340,Lisa Lisa And Cult Jam,Head To Toe
9341,B.o.B Featuring 2 Chainz,HeadBand
9342,Firefall,Headed For A Fall
9343,Winger,Headed For A Heartbreak
9344,Neil Diamond,Headed For The Future
9345,Fall Out Boy,Headfirst Slide Into Cooperstown On A Bad Bet
9346,Eminem Featuring Nate Ruess,Headlights
9347,Edwin Starr,Headline News
9348,Drake,Headlines
9349,Midnight Star,Headlines
9350,Spice Girls,Headlines (Friendship Never Ends)
9351,Danielle Bradbery,Heads Carolina Tails California
9352,Lil Tjay Polo G & Fivio Foreign,Headshot
9353,LL Cool J,Headsprung
9354,Trapt,Headstrong
9355,Michael Jackson,Heal The World
9356,Elton John,Healing Hands
9357,Juice WRLD,Hear Me Calling
9358,The Tokens,Hear The Bells
9359,Kanye West Featuring Adam Levine,Heard 'Em Say
9360,Sunshine Anderson,Heard It All Before
9361,The Marshall Tucker Band,Heard It In A Love Song
9362,The Soul Children,Hearsay
9363,Kenny Chandler,Heart
9364,Neneh Cherry,Heart
9365,Billy Joe Royal,Heart's Desire
9366,John Cafferty,Heart's On Fire
9367,Huey Lewis & The News,Heart And Soul
9368,Jan & Dean,Heart And Soul
9369,T'Pau,Heart And Soul
9370,The Cleftones,Heart And Soul
9371,The Monkees,Heart And Soul
9372,Demi Lovato,Heart Attack
9373,Enrique Iglesias,Heart Attack
9374,Olivia Newton-John,Heart Attack
9375,Trey Songz,Heart Attack
9376,Lorraine Ellison,Heart Be Still
9377,Dean Christie,Heart Breaker
9378,Holly Knight,Heart Don't Fail Me Now
9379,LaToya Jackson,Heart Don't Lie
9380,The Yardbirds,Heart Full Of Soul
9381,Dan Fogelberg,Heart Hotels
9382,Brenda Lee,Heart In Hand
9383,The Human League,Heart Like A Wheel
9384,The Steve Miller Band,Heart Like A Wheel
9385,Miranda Lambert,Heart Like Mine
9386,Polo G Featuring Rod Wave,Heart Of A Giant
9387,Blondie,Heart Of Glass
9388,Neil Young,Heart Of Gold
9389,Boz Scaggs,Heart Of Mine
9390,Cher,Heart Of Stone
9391,Taylor Dayne,Heart Of Stone
9392,The Rolling Stones,Heart Of Stone
9393,Juice Newton,Heart Of The Night
9394,Poco,Heart Of The Night
9395,Rod Wave,Heart On Ice
9396,Bryan Ferry,Heart On My Sleeve
9397,Gallagher And Lyle,Heart On My Sleeve
9398,Olly Murs Featuring Chiddy Bang,Heart Skips A Beat
9399,Errol Sober,Heart To Heart
9400,Kenny Loggins,Heart To Heart
9401,Foreigner,Heart Turns To Stone
9402,Wayne Newton And The Newton Brothers,Heart! (I Hear You Beating)
9403,Pepsi & Shirlie,Heartache
9404,Elton John,Heartache All Over The World
9405,Don Johnson,Heartache Away
9406,Jon Pardi,Heartache Medication
9407,Jon Pardi,Heartache On The Dance Floor
9408,Eagles,Heartache Tonight
9409,BTO,Heartaches
9410,Patsy Cline,Heartaches
9411,The Marcels,Heartaches
9412,Guy Mitchell,Heartaches By The Number
9413,Johnny Tillotson,Heartaches By The Number
9414,Buddy Holly,Heartbeat
9415,Carrie Underwood,Heartbeat
9416,Don Johnson,Heartbeat
9417,Seduction,Heartbeat
9418,The Fray,Heartbeat
9419,The DeFranco Family featuring Tony DeFranco,Heartbeat - It's A Lovebeat
9420,Kelly Clarkson,Heartbeat Song
9421,Jon Thomas and Orchestra,Heartbreak (It's Hurtin' Me)
9422,Little Willie John,Heartbreak (It's Hurtin' Me)
9423,Giveon,Heartbreak Anniversary
9424,Psychedelic Furs,Heartbreak Beat
9425,Fats Domino,Heartbreak Hill
9426,Frijid Pink,Heartbreak Hotel
9427,Roger Miller,Heartbreak Hotel
9428,The Jacksons,Heartbreak Hotel
9429,Whitney Houston Feat. Faith Evans & Kelly Price,Heartbreak Hotel
9430,Bill Withers,Heartbreak Road
9431,Cinderella,Heartbreak Station
9432,John Mayer,Heartbreak Warfare
9433,Dionne Warwick,Heartbreaker
9434,Dolly Parton,Heartbreaker
9435,Grand Funk Railroad,Heartbreaker
9436,Justin Bieber,Heartbreaker
9437,Mariah Carey Featuring Jay-Z,Heartbreaker
9438,Pat Benatar,Heartbreaker
9439,The Guess Who,Heartbroken Bopper
9440,Dia Frampton,Heartless
9441,Diplo Presents Thomas Wesley Featuring Morgan Wallen,Heartless
9442,Heart,Heartless
9443,Kanye West,Heartless
9444,Kris Allen,Heartless
9445,The Fray,Heartless
9446,The Weeknd,Heartless
9447,Neil Diamond,Heartlight
9448,Robin George,Heartline
9449,Jackie Wilson,Hearts
9450,Marty Balin,Hearts
9451,Night Ranger,Hearts Away
9452,Ed Sheeran,Hearts Don't Break Around Here
9453,Natural Selection,Hearts Don't Think (They Feel)
9454,Chicago,Hearts In Trouble (From "Days Of Thunder")
9455,Bill Black's Combo,Hearts Of Stone
9456,The Blue Ridge Rangers,Hearts Of Stone
9457,Bryan Adams,Hearts On Fire
9458,Randy Meisner,Hearts On Fire
9459,Steve Winwood,Hearts On Fire
9460,Everclear,Heartspark Dollarsign
9461,Chris Brown Featuring Gunna,Heat
9462,After 7,Heat Of The Moment
9463,Asia,Heat Of The Moment
9464,Bryan Adams,Heat Of The Night
9465,Martha & The Vandellas,Heat Wave
9466,Linda Ronstadt,Heat Wave/love Is A Rose
9467,Glass Animals,Heat Waves
9468,twenty one pilots,Heathens
9469,Conan Gray,Heather
9470,Tommy Roe,Heather Honey
9471,Lil Baby & Gunna,Heatin Up
9472,Calvin Harris Featuring Young Thug Pharrell Williams & Ariana Grande,Heatstroke
9473,Avicii,Heaven
9474,Bryan Adams,Heaven
9475,DJ Sammy & Yanou Featuring Do,Heaven
9476,Jake Worthington,Heaven
9477,Kane Brown,Heaven
9478,Live,Heaven
9479,Los Lonely Boys,Heaven
9480,Nu Flavor,Heaven
9481,Solo,Heaven
9482,The Rascals,Heaven
9483,Warrant,Heaven
9484,The Kendalls,Heaven's Just A Sin Away
9485,KISS,Heaven's On fire
9486,Gloria Estefan,Heaven's What I Feel
9487,Eurogliders,Heaven (Must Be There)
9488,Kanye West,Heaven And Hell
9489,Deon Estus With George Michael,Heaven Help Me
9490,Stevie Wonder,Heaven Help Us All
9491,Lenny Kravitz,Heaven Help/Spinning Around Over You
9492,Eddie Money,Heaven In The Back Seat
9493,Dan Hartman,Heaven In Your Arms
9494,Loverboy,Heaven In Your Eyes
9495,Bad English,Heaven Is A 4 Letter Word
9496,Belinda Carlisle,Heaven Is A Place On Earth
9497,Donna Summer With Brooklyn Dreams,Heaven Knows
9498,Luther Vandross,Heaven Knows
9499,The Grass Roots,Heaven Knows
9500,When In Rome,Heaven Knows
9501,Tavares,Heaven Must Be Missing An Angel (part 1)
9502,Bonnie Pointer,Heaven Must Have Sent You
9503,The Elgins,Heaven Must Have Sent You
9504,Kid Cudi,Heaven On Earth
9505,The Spinners,Heaven On Earth (So Fine)
9506,Paul Nicholas,Heaven On The 7th Floor
9507,Keyshia Cole,Heaven Sent
9508,The Temptations,Heavenly
9509,Teresa Brewer,Heavenly Lover
9510,Collective Soul,Heavy
9511,Linkin Park Featuring Kiiara,Heavy
9512,The Stylistics,Heavy Fallin' Out
9513,Meek Mill,Heavy Heart
9514,David Ruffin,Heavy Love
9515,The Staple Singers,Heavy Makes You Happy (Sha-Na-Boom Boom)
9516,Don Felder,Heavy Metal (Takin' A Ride)
9517,Kenny Rogers & The First Edition,Heed The Call
9518,Neon Philharmonic,Heighdy-Ho Princess
9519,Paul McCartney And Wings,Helen Wheels
9520,My Chemical Romance,Helena (So Long & Goodnight)
9521,Sia,Helium
9522,Eminem Featuring Dr. Dre,Hell Breaks Loose
9523,Bellamy Brothers,Hell Cat
9524,T.I.,Hell Of A Life
9525,Dustin Lynch,Hell Of A Night
9526,Eric Church,Hell Of A View
9527,Pistol Annies,Hell On Heels
9528,Eric Church,Hell On The Heart
9529,Cher,Hell On Wheels
9530,Blake Shelton Featuring Trace Adkins,Hell Right
9531,Glee Cast,Hell To The No
9532,Ginuwine Featuring Baby,Hell Yeah
9533,Montgomery Gentry,Hell Yeah
9534,No Doubt,Hella Good
9535,Lil Durk,Hellcats & Trackhawks
9536,Adele,Hello
9537,David Cook,Hello
9538,Glee Cast Featuring Jonathan Groff,Hello
9539,Karmin,Hello
9540,Lionel Richie,Hello
9541,Martin Solveig & Dragonette,Hello
9542,Pop Smoke Featuring A Boogie Wit da Hoodie,Hello
9543,Neil Diamond,Hello Again
9544,The Cars,Hello Again
9545,Conway Twitty,Hello Darlin'
9546,Flo Rida Featuring Jason Derulo,Hello Friday
9547,Diddy - Dirty Money Featuring T.I.,Hello Good Morning
9548,Glee Cast,Hello Goodbye
9549,The Beatles,Hello Goodbye
9550,Little Peggy March,Hello Heartache Goodbye Love
9551,The Sopwith "Camel",Hello Hello
9552,Alice Cooper,Hello Hurray
9553,Nazz,Hello It's Me
9554,Todd Rundgren,Hello It's Me
9555,Paul Anka,Hello Jim
9556,Avril Lavigne,Hello Kitty
9557,John Michael Montgomery,Hello L.O.V.E.
9558,Ricky Nelson,Hello Mary Lou
9559,Allan Sherman,Hello Mudduh Hello Fadduh! (A Letter From Camp)
9560,Allan Sherman,Hello Mudduh Hello Fadduh! (A Letter From Camp) (New 1964 Version)
9561,Eric Clapton,Hello Old Friend
9562,Ronnie Dove,Hello Pretty Girl
9563,Barbara Lewis,Hello Stranger
9564,Fire And Rain,Hello Stranger
9565,Yvonne Elliman,Hello Stranger
9566,Squeak E. Clean Featuring Karen O,Hello Tomorrow
9567,Faron Young,Hello Walls
9568,Lady Antebellum,Hello World
9569,Paul Anka,Hello Young Lovers
9570,Bobby Darin,Hello Dolly!
9571,Louis Armstrong And The All Stars,Hello Dolly!
9572,Claudine Longet,Hello Hello
9573,New England,Hello Hello Hello
9574,Glee Cast,Hello I Love You
9575,The Doors,Hello I Love You
9576,Brotherhood Creed,Helluva
9577,Frankie Ballard,Helluva Life
9578,Ludacris,Helluva Night
9579,Little River Band,Help Is On Its Way
9580,Rise Against,Help Is On The Way
9581,Joni Mitchell,Help Me
9582,The Spellbinders,Help Me (Get Myself Back Together Again)
9583,Little Anthony And The Imperials,Help Me Find A Way (To Say I Love You)
9584,Eric Burdon & The Animals,Help Me Girl
9585,The Outsiders,Help Me Girl
9586,B.J. Thomas,Help Me Make It (To My Rockin' Chair)
9587,Gladys Knight And The Pips,Help Me Make It Through The Night
9588,Joe Simon,Help Me Make It Through The Night
9589,O.C. Smith,Help Me Make It Through The Night
9590,Sammi Smith,Help Me Make It Through The Night
9591,Johnny Rivers,Help Me Rhonda
9592,Trace Adkins,Help Me Understand
9593,Marcy Levy & Robin Gibb,Help Me!
9594,The Beach Boys,Help Me Rhonda
9595,Buddy Jewell,Help Pour Out The Rain (Lacey's Song)
9596,Van Zant,Help Somebody
9597,B.B. King,Help The Poor
9598,The Hudson Brothers,Help Wanted
9599,The Undisputed Truth,Help Yourself
9600,Tom Jones,Help Yourself
9601,James & Bobby Purify,Help Yourself (To All Of My Lovin')
9602,The Beatles,Help!
9603,Kim Weston,Helpless
9604,Fuel,Hemorrhage (In My Hands)
9605,Rob Thomas,Her Diamonds
9606,James Darren,Her Royal Majesty
9607,James Taylor & J.D. Souther,Her Town Too
9608,Alessia Cara,Here
9609,Rascal Flatts,Here
9610,The Diplomats,Here's A Heart
9611,Wyatt (Earp) McPherson,Here's My Confession
9612,Tanya Tucker,Here's Some Love
9613,Avril Lavigne,Here's To Never Growing Up
9614,Eve 6,Here's To The Night
9615,Glee Cast,Here's To Us
9616,Hamilton Camp,Here's To You
9617,Bill Engvall With Special Guest Travis Tritt,Here's Your Sign (Get The Picture)
9618,Letters To Cleo,Here & Now
9619,Hellogoodbye,Here (In Your Arms)
9620,Kenny Chesney,Here And Now
9621,Luther Vandross,Here And Now
9622,The Buena Vistas,Here Come Da Judge
9623,The Magistrates,Here Come The Judge
9624,Lords Of The Underground,Here Come The Lords
9625,Jackson Browne,Here Come Those Tears Again
9626,Rascal Flatts,Here Comes Goodbye
9627,Eddy Arnold,Here Comes Heaven
9628,The Tremeloes,Here Comes My Baby
9629,Tom Petty And The Heartbreakers,Here Comes My Girl
9630,Gene Autry,Here Comes Santa Claus (Right Down Santa Claus Lane)
9631,Jerry Keller,Here Comes Summer
9632,Wildfire,Here Comes Summer
9633,Brenda Lee,Here Comes That Feelin'
9634,The Fortunes,Here Comes That Rainy Day Feeling Again
9635,Tracey Dey,Here Comes The Boy
9636,M.C. Hammer,Here Comes The Hammer
9637,Ini Kamoze,Here Comes The Hotstepper (From "Ready To Wear")
9638,Pigmeat Markham,Here Comes The Judge
9639,Shorty Long,Here Comes The Judge
9640,Ben E. King,Here Comes The Night
9641,Nick Gilder,Here Comes The Night
9642,The Beach Boys,Here Comes The Night
9643,Them,Here Comes The Night
9644,Eurythmics,Here Comes The Rain Again
9645,Eddy Arnold,Here Comes The Rain Baby
9646,Richie Havens,Here Comes The Sun
9647,George Strait,Here For A Good Time
9648,Gretchen Wilson,Here For The Party
9649,Dionne Warwick,Here I Am
9650,Rick Ross Featuring Nelly & Avery Storm,Here I Am
9651,UB40,Here I Am (Come And Take Me)
9652,Air Supply,Here I Am (Just When I Thought I Was Over You)
9653,The Marvelettes,Here I Am Baby
